go,1000000,1000,40,1,1,0.192704
go,1000000,1000,38,1,1,0.201494
go,1000000,1000,36,1,1,0.211273
go,1000000,1000,34,1,1,0.221344
go,1000000,1000,32,1,1,0.233867
go,1000000,1000,30,1,1,0.244876
go,1000000,1000,28,1,1,0.259418
go,1000000,1000,26,1,1,0.275441
go,1000000,1000,24,1,1,0.288206
go,1000000,1000,22,1,1,0.311336
go,1000000,1000,20,1,1,0.325536
go,1000000,1000,18,1,1,0.357060
go,1000000,1000,16,1,1,0.374100
go,1000000,1000,14,1,1,0.413787
go,1000000,1000,12,1,1,0.447501
go,1000000,1000,10,1,1,0.510061
go,1000000,1000,8,1,1,0.606023
go,1000000,1000,6,1,1,0.769592
go,1000000,1000,4,1,1,1.087178
go,1000000,1000,2,1,1,2.110330
heat2,1000000,1000,40,1.0,1.0,12.052716255187988,0
heat2,1000000,1000,38,1.0,1.0,11.419343709945679,0
heat2,1000000,1000,36,1.0,1.0,10.626274824142456,0
heat2,1000000,1000,34,1.0,1.0,9.947899103164673,0
heat2,1000000,1000,32,1.0,1.0,9.412540674209595,0
heat2,1000000,1000,30,1.0,1.0,10.951715230941772,0
heat2,1000000,1000,28,1.0,1.0,10.304723501205444,0
heat2,1000000,1000,26,1.0,1.0,9.641955614089966,0
heat2,1000000,1000,24,1.0,1.0,8.74918508529663,0
heat2,1000000,1000,22,1.0,1.0,8.422770738601685,0
heat2,1000000,1000,20,1.0,1.0,7.200161933898926,0
heat2,1000000,1000,18,1.0,1.0,6.778642416000366,0
heat2,1000000,1000,16,1.0,1.0,5.765876770019531,0
heat2,1000000,1000,14,1.0,1.0,5.146815538406372,0
heat2,1000000,1000,12,1.0,1.0,4.391560792922974,0
heat2,1000000,1000,10,1.0,1.0,3.710894823074341,0
heat2,1000000,1000,8,1.0,1.0,3.0433387756347656,0
heat2,1000000,1000,6,1.0,1.0,2.6803221702575684,0
heat2,1000000,1000,4,1.0,1.0,3.0312767028808594,0
heat2,1000000,1000,2,1.0,1.0,5.487091779708862,0
rust,1000000,1000,40,1,1,0.164879728
rust,1000000,1000,38,1,1,0.108748842
rust,1000000,1000,36,1,1,0.14252083
rust,1000000,1000,34,1,1,0.08485666
rust,1000000,1000,32,1,1,0.12328894
rust,1000000,1000,30,1,1,0.148587364
rust,1000000,1000,28,1,1,0.149452071
rust,1000000,1000,26,1,1,0.110768769
rust,1000000,1000,24,1,1,0.125131316
rust,1000000,1000,22,1,1,0.113726206
rust,1000000,1000,20,1,1,0.17995613
rust,1000000,1000,18,1,1,0.141732803
rust,1000000,1000,16,1,1,0.171344434
rust,1000000,1000,14,1,1,0.154587186
rust,1000000,1000,12,1,1,0.176906054
rust,1000000,1000,10,1,1,0.205597858
rust,1000000,1000,8,1,1,0.250617955
rust,1000000,1000,6,1,1,0.325439116
rust,1000000,1000,4,1,1,0.47624814
rust,1000000,1000,2,1,1,0.943990224
